iter	Passed	Remaining
0	4	4142
1	7	3886
2	10	3545
3	14	3490
4	17	3463
5	20	3447
6	24	3465
7	29	3688
8	34	3761
9	37	3740
10	41	3733
11	44	3695
12	48	3670
13	51	3630
14	55	3636
15	58	3598
16	61	3579
17	64	3540
18	68	3527
19	74	3643
20	77	3623
21	80	3588
22	84	3601
23	88	3604
24	92	3593
25	95	3587
26	99	3586
27	102	3561
28	106	3553
29	110	3568
30	114	3573
31	118	3573
32	121	3557
33	124	3532
34	127	3523
35	132	3558
36	136	3553
37	139	3533
38	143	3528
39	146	3519
40	150	3510
41	153	3501
42	157	3495
43	160	3486
44	164	3492
45	167	3472
46	171	3475
47	174	3464
48	178	3458
49	181	3456
50	185	3453
51	188	3437
52	192	3435
53	195	3425
54	198	3415
55	202	3407
56	205	3397
57	208	3389
58	211	3377
59	215	3371
60	218	3362
61	221	3352
62	224	3341
63	228	3337
64	231	3327
65	234	3320
66	237	3310
67	241	3310
68	244	3302
69	248	3299
70	251	3290
71	254	3279
72	257	3271
73	261	3268
74	264	3259
75	268	3263
76	271	3257
77	275	3253
78	278	3246
79	281	3237
80	284	3230
81	288	3230
82	291	3224
83	295	3218
84	298	3217
85	301	3209
86	305	3203
87	308	3200
88	312	3195
89	315	3188
90	318	3182
91	323	3187
92	326	3180
93	329	3174
94	332	3166
95	335	3160
96	338	3153
97	342	3147
98	345	3142
99	348	3136
100	351	3131
101	355	3125
102	358	3118
103	361	3112
104	364	3106
105	368	3104
106	371	3102
107	375	3097
108	379	3098
109	382	3091
110	386	3091
111	389	3085
112	392	3080
113	395	3075
114	399	3072
115	402	3066
116	405	3060
117	408	3054
118	411	3049
119	414	3043
120	418	3038
121	421	3031
122	424	3027
123	427	3020
124	430	3015
125	434	3010
126	438	3012
127	441	3006
128	444	3001
129	447	2996
130	450	2990
131	453	2984
132	456	2978
133	460	2978
134	467	2993
135	470	2989
136	473	2984
137	477	2980
138	480	2974
139	483	2969
140	486	2965
141	489	2959
142	492	2954
143	497	2959
144	501	2954
145	504	2949
146	507	2943
147	510	2938
148	514	2941
149	518	2935
150	521	2931
151	524	2926
152	528	2923
153	531	2919
154	534	2913
155	537	2909
156	540	2904
157	544	2900
158	547	2894
159	550	2890
160	553	2884
161	556	2879
162	559	2874
163	562	2869
164	565	2863
165	569	2858
166	572	2854
167	575	2849
168	578	2843
169	581	2839
170	585	2836
171	588	2833
172	591	2828
173	594	2823
174	598	2819
175	601	2814
176	604	2810
177	607	2807
178	611	2802
179	615	2805
180	619	2801
181	622	2796
182	625	2791
183	628	2786
184	631	2782
185	635	2780
186	639	2778
187	642	2773
188	645	2769
189	648	2765
190	652	2762
191	655	2760
192	659	2757
193	662	2753
194	666	2750
195	669	2746
196	672	2742
197	675	2737
198	679	2734
199	682	2729
200	686	2728
201	689	2724
202	692	2719
203	695	2714
204	699	2711
205	702	2709
206	705	2704
207	708	2699
208	713	2701
209	716	2695
210	719	2691
211	722	2686
212	726	2683
213	730	2682
214	733	2679
215	737	2675
216	740	2672
217	743	2668
218	746	2663
219	750	2659
220	753	2655
221	756	2651
222	759	2647
223	762	2642
224	766	2640
225	769	2636
226	772	2632
227	776	2627
228	779	2624
229	782	2620
230	786	2617
231	789	2612
232	792	2608
233	795	2603
234	798	2598
235	801	2593
236	804	2589
237	807	2585
238	812	2587
239	817	2588
240	820	2584
241	824	2582
242	827	2577
243	830	2573
244	834	2570
245	837	2566
246	840	2561
247	843	2557
248	846	2553
249	849	2549
250	852	2545
251	856	2542
252	859	2537
253	862	2534
254	866	2531
255	869	2527
256	872	2523
257	876	2520
258	879	2515
259	882	2512
260	885	2508
261	889	2504
262	892	2501
263	895	2497
264	899	2493
265	901	2488
266	905	2485
267	908	2480
268	911	2477
269	914	2472
270	917	2469
271	921	2466
272	924	2462
273	928	2459
274	931	2456
275	935	2454
276	938	2450
277	941	2446
278	945	2442
279	948	2438
280	951	2434
281	954	2430
282	957	2426
283	961	2423
284	964	2419
285	967	2416
286	971	2414
287	975	2411
288	978	2407
289	981	2402
290	984	2398
291	987	2394
292	990	2391
293	993	2386
294	997	2383
295	999	2377
296	1003	2374
297	1006	2370
298	1009	2366
299	1013	2365
300	1016	2361
301	1020	2358
302	1023	2354
303	1026	2350
304	1029	2346
305	1033	2344
306	1037	2341
307	1040	2337
308	1043	2334
309	1047	2330
310	1050	2326
311	1053	2323
312	1056	2319
313	1060	2315
314	1063	2312
315	1066	2308
316	1069	2304
317	1073	2301
318	1076	2297
319	1080	2295
320	1083	2291
321	1087	2289
322	1090	2285
323	1094	2282
324	1097	2279
325	1100	2275
326	1104	2272
327	1107	2268
328	1110	2265
329	1114	2262
330	1117	2258
331	1120	2254
332	1139	2282
333	1143	2280
334	1147	2277
335	1150	2273
336	1153	2269
337	1156	2265
338	1159	2261
339	1162	2257
340	1166	2254
341	1169	2250
342	1173	2247
343	1176	2243
344	1179	2239
345	1182	2236
346	1186	2232
347	1189	2227
348	1192	2224
349	1205	2239
350	1208	2234
351	1212	2231
352	1215	2227
353	1218	2223
354	1221	2219
355	1224	2215
356	1247	2246
357	1250	2242
358	1254	2239
359	1257	2236
360	1261	2233
361	1268	2234
362	1271	2230
363	1274	2226
364	1277	2222
365	1280	2218
366	1284	2215
367	1287	2211
368	1291	2207
369	1294	2204
370	1298	2201
371	1301	2197
372	1305	2194
373	1309	2191
374	1312	2187
375	1316	2184
376	1319	2180
377	1323	2177
378	1326	2173
379	1329	2169
380	1333	2166
381	1336	2162
382	1340	2158
383	1343	2155
384	1346	2151
385	1349	2147
386	1353	2143
387	1356	2139
388	1360	2136
389	1363	2132
390	1366	2128
391	1370	2125
392	1373	2121
393	1376	2117
394	1380	2113
395	1383	2110
